ProjectTitle;|=*?*=|TimeUnitId;|=*?*=|HoursPutIn;|=*?*=|Classification;|=*?*=|ProjectId;|=*?*=|TimeStamp;|=*?*=|
Proffesionale communicatie;|=*?*=|0b8c7ffb-ee05-496a-99b0-12b47dc69b8a;|=*?*=|37;|=*?*=|3;|=*?*=|35ed4ddd-d06d-476c-9482-64a5b4106583;|=*?*=|06/02/2021 12:00:00 AM
6. C# Object Oriented Programming 2;|=*?*=|1546e5e9-fcf6-4f1f-bf42-1335794110e2;|=*?*=|20;|=*?*=|1;|=*?*=|2bcd4b21-cf7f-4b47-b448-2492b01dd513;|=*?*=|05/02/2021 12:00:00 AM
5. C# Battleship Mini project;|=*?*=|59a980d5-6da0-444b-b96d-74bfc35e3e99;|=*?*=|150;|=*?*=|1;|=*?*=|ae2af3e2-669b-43cc-b25e-1de3357fba33;|=*?*=|26/01/2021 12:00:00 AM
Databases en SQL Foundation;|=*?*=|b9046b2c-72ec-4ef7-a282-752874ae071d;|=*?*=|40;|=*?*=|3;|=*?*=|1b0a00c3-839c-4004-bfcc-ca0be3371c28;|=*?*=|19/01/2021 12:00:00 AM
Databases en SQL Foundation;|=*?*=|2e6476e5-f1fe-4cb4-bfca-3f7e4e64b25d;|=*?*=|7;|=*?*=|1;|=*?*=|1b0a00c3-839c-4004-bfcc-ca0be3371c28;|=*?*=|19/01/2021 12:00:00 AM
Veilig programmeren;|=*?*=|fb952c60-bcdf-43e4-a641-c346e8c84fb4;|=*?*=|47;|=*?*=|3;|=*?*=|f62d99f5-6540-49a8-90d7-328718b68d18;|=*?*=|19/12/2020 12:00:00 AM
Veilig programmeren;|=*?*=|f7426586-6b53-45fe-883e-d6798d7f44e2;|=*?*=|37;|=*?*=|3;|=*?*=|f62d99f5-6540-49a8-90d7-328718b68d18;|=*?*=|05/12/2020 12:00:00 AM
4. C# Object Oriented Programming 1;|=*?*=|81ef11a7-3d86-4c10-86e3-5c60d332c93e;|=*?*=|50;|=*?*=|1;|=*?*=|fd1bbd3c-a88b-4d23-96c7-b02357fdb1fa;|=*?*=|17/11/2020 12:00:00 AM
3. C# Debugging;|=*?*=|57de127e-e1ad-4fe0-8dc0-d7ade017c053;|=*?*=|15;|=*?*=|1;|=*?*=|d83527c9-f90b-40a3-9beb-5e9b941416ac;|=*?*=|22/10/2020 12:00:00 AM
2. C# Common syntax;|=*?*=|f218e4c6-a3ef-4d87-bc76-a58678c005ea;|=*?*=|30;|=*?*=|1;|=*?*=|24bfed1e-cbc3-4795-b189-c4228566293b;|=*?*=|16/10/2020 12:00:00 AM
